alpha_mean,bucket,control_mode,count,dataset,degree_mean,family,fraction_of_test,global_preference_rate,local_advantage_mean,local_preference_rate,local_similarity_mean,neighbor_variance_mean,rwse_mean,seed,split,test_accuracy
1.0,low,fixed,6123,Amazon-ratings,-0.007341407705098391,iterative_relation_finetune,1.0,0.20000000298023224,0.0701877623796463,0.800000011920929,0.527580738067627,-0.0035617712419480085,-0.0031465881038457155,0,6,0.46692797541618347
nan,mid,fixed,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,6,nan
1.0,high,fixed,6123,Amazon-ratings,-0.007341407705098391,iterative_relation_finetune,1.0,0.20000000298023224,0.0701877623796463,0.800000011920929,0.527580738067627,-0.0035617712419480085,-0.0031465881038457155,0,6,0.46692797541618347
1.0,low,fixed,6123,Amazon-ratings,0.009832475334405899,iterative_relation_finetune,1.0,0.3333333432674408,0.07032939046621323,0.6666666865348816,0.5263234972953796,0.00396599480882287,-0.0063969288021326065,0,7,0.4634982943534851
nan,mid,fixed,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,7,nan
1.0,high,fixed,6123,Amazon-ratings,0.009832475334405899,iterative_relation_finetune,1.0,0.3333333432674408,0.07032939046621323,0.6666666865348816,0.5263234972953796,0.00396599480882287,-0.0063969288021326065,0,7,0.4634982943534851
0.75,low,fixed,6123,Amazon-ratings,0.0061188661493361,iterative_relation_finetune,1.0,0.4990825653076172,0.06380598247051239,0.5009174346923828,0.5246058702468872,0.018983734771609306,0.004450994078069925,0,8,0.4721541702747345
nan,mid,fixed,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,8,nan
0.75,high,fixed,6123,Amazon-ratings,0.0061188661493361,iterative_relation_finetune,1.0,0.4990825653076172,0.06380598247051239,0.5009174346923828,0.5246058702468872,0.018983734771609306,0.004450994078069925,0,8,0.4721541702747345
0.75,low,fixed,6123,Amazon-ratings,0.0018931688973680139,iterative_relation_finetune,1.0,0.3461538553237915,0.07017602771520615,0.6538461446762085,0.5268487930297852,-0.001747979549691081,-0.004141635727137327,0,9,0.47248080372810364
nan,mid,fixed,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,9,nan
0.75,high,fixed,6123,Amazon-ratings,0.0018931688973680139,iterative_relation_finetune,1.0,0.3461538553237915,0.07017602771520615,0.6538461446762085,0.5268487930297852,-0.001747979549691081,-0.004141635727137327,0,9,0.47248080372810364
0.7945356369018555,low,reliability_only,1531,Amazon-ratings,0.17684270441532135,iterative_relation_finetune,0.25004082965866403,0.25,0.05102412402629852,0.75,0.5724432468414307,-0.17585894465446472,0.5693607926368713,0,0,0.439581960439682
0.8020820021629333,mid,reliability_only,3061,Amazon-ratings,0.17205876111984253,iterative_relation_finetune,0.4999183406826719,0.1875,0.06312862783670425,0.8125,0.5529886484146118,-0.0861426293849945,0.060749202966690063,0,0,0.4472394585609436
0.8114977478981018,high,reliability_only,1531,Amazon-ratings,-0.5140374302864075,iterative_relation_finetune,0.25004082965866403,0.0,0.10382484644651413,1.0,0.4218554198741913,0.3637165129184723,-0.6742557287216187,0,0,0.5898106098175049
0.7903869152069092,low,reliability_only,1531,Amazon-ratings,0.26573535799980164,iterative_relation_finetune,0.25004082965866403,0.0,0.06995608657598495,1.0,0.49542102217674255,0.1587061733007431,0.6352946758270264,0,1,0.44415414333343506
0.7965149879455566,mid,reliability_only,3061,Amazon-ratings,0.07986179739236832,iterative_relation_finetune,0.4999183406826719,0.23529411852359772,0.04810824617743492,0.7647058963775635,0.5503508448600769,-0.12019157409667969,-0.0203794427216053,0,1,0.4737014174461365
0.8010687828063965,high,reliability_only,1531,Amazon-ratings,-0.37852826714515686,iterative_relation_finetune,0.25004082965866403,0.1428571492433548,0.11642704904079437,0.8571428656578064,0.5038663148880005,0.0709395632147789,-0.5878434777259827,0,1,0.519921600818634
0.7926672101020813,low,reliability_only,1531,Amazon-ratings,-0.20734803378582,iterative_relation_finetune,0.25004082965866403,0.4285714328289032,0.06251154839992523,0.5714285969734192,0.5411454439163208,-0.010193874128162861,0.403027206659317,0,2,0.41802743077278137
0.8014285564422607,mid,reliability_only,3061,Amazon-ratings,0.04987720772624016,iterative_relation_finetune,0.4999183406826719,0.5,0.08538172394037247,0.5,0.5214130878448486,0.03427150472998619,-0.07567980885505676,0,2,0.5011433959007263
0.8065352439880371,high,reliability_only,1531,Amazon-ratings,0.12346069514751434,iterative_relation_finetune,0.25004082965866403,0.09090909361839294,0.04851271212100983,0.9090909361839294,0.5166170597076416,-0.032522644847631454,-0.21893905103206635,0,2,0.5336381196975708
