alpha_pearson_test,alpha_spearman_test,component,component_auc_for_local_preference,component_corr_local_advantage,control_mode,dataset,family,seed,split,test_count
-0.1438771290473535,-0.14691979362813828,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,0,6123
0.04767825568758519,0.059229047592546456,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,0,6123
-0.34950304179252767,-0.3831761697098817,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,1,6123
-0.2872698084542746,-0.25637903149764585,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,2,6123
0.06679396505307636,0.06639679450435353,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,2,6123
-0.1157128528468464,-0.1238177554275368,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,2,6123
-0.287217377452667,-0.2747885641942382,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,3,6123
0.3245353076022818,0.2905796149295776,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,4,6123
-0.26115457307417633,-0.22208689009775562,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,4,6123
0.31991525930569015,0.30544761137184034,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,4,6123
0.18385620447642098,0.11372478618195037,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,7,6123
-0.12347433636455513,-0.1485652703348511,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.35860522195328337,-0.35592476707403253,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,8,6123
0.2816776295737858,0.2787591518159878,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.22391647529087408,-0.2182708047218809,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.17548069847872771,-0.18541182835771428,degree,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,9,6123
-0.28099057151964335,-0.28853677898556346,local_similarity,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,9,6123
0.18441072583733953,0.1962596057176326,neighbor_variance,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,9,6123
-0.31526631474223543,-0.3015421372264308,rwse,nan,nan,reliability_only,Amazon-ratings,iterative_relation_frozen,0,9,6123
0.1312399375723308,0.07816131251978377,degree,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,0,5666
0.4488635878244733,0.44930410779687424,local_similarity,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,0,5666
-0.08279503811068926,-0.13661686469777443,neighbor_variance,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,0,5666
-0.40355796058945526,-0.4475930762578113,rwse,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,0,5666
0.5990262604747301,0.6438027433987595,degree,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,1,5666
-0.3014172520819828,-0.27634855011188325,local_similarity,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,1,5666
0.5523029846551561,0.581460982466744,neighbor_variance,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,1,5666
0.3477693338449917,0.34599772057514155,rwse,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,1,5666
-0.08668818715297749,-0.07480210718793645,degree,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,2,5666
0.08307144822477525,0.08063064178977968,local_similarity,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,2,5666
-0.1506082327788908,-0.20488755242053708,neighbor_variance,nan,nan,combined,Roman-empire,iterative_relation_finetune,0,2,5666
